Multipole Moment (l),White Hole Detection Ratio
2430.7615230460924,0.0
2436.7535070140284,0.0
2442.745490981964,0.0
2448.7374749499,0.0
2454.729458917836,0.0
2460.721442885772,0.0
2466.7134268537075,0.0
2472.7054108216435,0.0
2478.6973947895794,0.0
2484.689378757515,0.0
2490.681362725451,0.0
2496.673346693387,0.0
2502.665330661323,0.0
2508.6573146292585,0.0
2514.6492985971945,0.0
2520.6412825651305,0.0
2526.6332665330665,0.0
2532.625250501002,0.0
2538.617234468938,0.0
2544.609218436874,0.0
2550.60120240481,0.0
2556.5931863727455,0.0
2562.5851703406815,0.0
2568.5771543086175,0.0
2574.569138276553,0.0
2580.561122244489,0.0
2586.553106212425,0.0
2592.545090180361,0.0
2598.5370741482966,0.0
2604.5290581162326,0.0
2610.5210420841686,0.0
2616.5130260521046,0.0
2622.50501002004,0.0
2628.496993987976,0.0
2634.488977955912,0.0
2640.480961923848,0.0
2646.4729458917836,0.0
2652.4649298597196,0.0
2658.4569138276556,0.0
2664.448897795591,0.0
2670.440881763527,0.0
2676.432865731463,0.0
2682.424849699399,0.0
2688.4168336673347,0.0
2694.4088176352707,0.0
2700.4008016032067,0.0
2706.3927855711427,0.0
2712.384769539078,0.0
2718.376753507014,0.0
2724.36873747495,0.0
2730.360721442886,0.0
2736.3527054108217,0.0
2742.3446893787577,0.0
2748.3366733466937,0.0
2754.3286573146293,0.0
2760.3206412825652,0.0
2766.3126252505012,0.0
2772.3046092184372,0.0
2778.296593186373,0.0
2784.2885771543088,0.0
2790.2805611222448,0.0
2796.2725450901808,0.0
2802.2645290581163,0.0
2808.2565130260523,0.0
2814.2484969939883,0.0
2820.2404809619243,0.0
2826.23246492986,0.0
2832.224448897796,0.0
2838.216432865732,0.0
2844.2084168336673,0.0
2850.2004008016033,0.0
2856.1923847695393,0.0
2862.1843687374753,0.0
2868.176352705411,0.0
2874.168336673347,0.0
2880.160320641283,0.0
2886.152304609219,0.0
2892.1442885771544,0.0
2898.1362725450904,0.0
2904.1282565130264,0.0
2910.120240480962,0.0
2916.112224448898,0.0
2922.104208416834,0.0
2928.09619238477,0.0
2934.0881763527054,0.0
2940.0801603206414,0.0
2946.0721442885774,0.0
2952.0641282565134,0.0
2958.056112224449,0.0
2964.048096192385,0.0
2970.040080160321,0.0
2976.032064128257,0.0
2982.0240480961925,0.0
2988.0160320641285,0.0
2994.0080160320645,0.0
3000.0,0.0
